.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
C1-RNA-BS-030325_S44_L001_R1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
C1-RNA-BS-030325_S44_L001_R1_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
C1-RNA-BS-030325_S44_L001_R2	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
C1-RNA-BS-030325_S44_L001_R2_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
C2-RNA-BS-030325_S45_L001_R1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
C2-RNA-BS-030325_S45_L001_R1_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
C2-RNA-BS-030325_S45_L001_R2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
C2-RNA-BS-030325_S45_L001_R2_001	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
C3-RNA-BS-030325_S46_L001_R1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
C3-RNA-BS-030325_S46_L001_R1_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
C3-RNA-BS-030325_S46_L001_R2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
C3-RNA-BS-030325_S46_L001_R2_001	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
F1-RNA-BS-030325_S47_L001_R1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
F1-RNA-BS-030325_S47_L001_R1_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
F1-RNA-BS-030325_S47_L001_R2	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
F1-RNA-BS-030325_S47_L001_R2_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
F2-RNA-BS-030325_S48_L001_R1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
F2-RNA-BS-030325_S48_L001_R1_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
F2-RNA-BS-030325_S48_L001_R2	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
F2-RNA-BS-030325_S48_L001_R2_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
F3-RNA-BS-030325_S49_L001_R1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
F3-RNA-BS-030325_S49_L001_R1_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
F3-RNA-BS-030325_S49_L001_R2	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
F3-RNA-BS-030325_S49_L001_R2_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
F4-RNA-BS-030325_S50_L001_R1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
F4-RNA-BS-030325_S50_L001_R1_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
F4-RNA-BS-030325_S50_L001_R2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
F4-RNA-BS-030325_S50_L001_R2_001	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
L1-RNA-BS-030325_S57_L001_R1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
L1-RNA-BS-030325_S57_L001_R1_001	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
L1-RNA-BS-030325_S57_L001_R2	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
L1-RNA-BS-030325_S57_L001_R2_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
L2-RNA-BS-030325_S58_L001_R1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
L2-RNA-BS-030325_S58_L001_R1_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
L2-RNA-BS-030325_S58_L001_R2	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
L2-RNA-BS-030325_S58_L001_R2_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
L3-RNA-BS-030325_S59_L001_R1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
L3-RNA-BS-030325_S59_L001_R1_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
L3-RNA-BS-030325_S59_L001_R2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
L3-RNA-BS-030325_S59_L001_R2_001	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
P1-RNA-BS-030325_S54_L001_R1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
P1-RNA-BS-030325_S54_L001_R1_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
P1-RNA-BS-030325_S54_L001_R2	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
P1-RNA-BS-030325_S54_L001_R2_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
P2-RNA-BS-030325_S2_L001_R1	1	1	0.25	1	0.25	1	1	0.5	0.5	0.5	1
P2-RNA-BS-030325_S2_L001_R1_001	1	1	0.25	1	0.25	1	1	0.5	0.5	0.5	1
P2-RNA-BS-030325_S2_L001_R2	1	1	0.25	1	0.25	1	1	0.5	1	1	1
P2-RNA-BS-030325_S2_L001_R2_001	1	1	0.25	1	0.25	1	1	0.5	1	0.5	1
P2-RNA-BS-030325_S55_L001_R1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
P2-RNA-BS-030325_S55_L001_R1_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
P2-RNA-BS-030325_S55_L001_R2	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
P2-RNA-BS-030325_S55_L001_R2_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
P3-RNA-BS-030325_S56_L001_R1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
P3-RNA-BS-030325_S56_L001_R1_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
P3-RNA-BS-030325_S56_L001_R2	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
P3-RNA-BS-030325_S56_L001_R2_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
Q1-RNA-BS-030325_S51_L001_R1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
Q1-RNA-BS-030325_S51_L001_R1_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
Q1-RNA-BS-030325_S51_L001_R2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
Q1-RNA-BS-030325_S51_L001_R2_001	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.5	1
Q2-RNA-BS-030325_S52_L001_R1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
Q2-RNA-BS-030325_S52_L001_R1_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
Q2-RNA-BS-030325_S52_L001_R2	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
Q2-RNA-BS-030325_S52_L001_R2_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
Q3-RNA-BS-030325_S1_L001_R1	1	1	0.25	1	0.25	1	1	0.5	0.5	0.5	1
Q3-RNA-BS-030325_S1_L001_R1_001	1	1	0.25	1	0.25	1	0.5	0.5	0.5	0.25	1
Q3-RNA-BS-030325_S1_L001_R2	1	1	0.25	1	0.25	1	1	0.5	1	1	1
Q3-RNA-BS-030325_S1_L001_R2_001	1	1	0.25	1	0.25	1	1	0.5	1	0.25	1
Q3-RNA-BS-030325_S53_L001_R1	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
Q3-RNA-BS-030325_S53_L001_R1_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.25	1
Q3-RNA-BS-030325_S53_L001_R2	1	1	0.25	1	0.25	1	1	0.5	0.25	0.5	1
Q3-RNA-BS-030325_S53_L001_R2_001	1	1	0.25	1	0.25	1	1	0.5	0.25	0.25	1
