Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
C1-RNA-BS-030325_S44_L001_R1 - polya	(1, 0.027158373757779995)	(2, 0.03775376864389069)	(3, 0.04257395022161784)	(4, 0.04938469079224166)	(5, 0.05298925340994762)	(6, 0.056423274647179215)	(7, 0.06000737229922825)	(8, 0.0681838082446907)	(9, 0.08187896326230326)	(10, 0.09574056666725879)	(11, 0.09958525154867263)	(12, 0.10349951731332002)	(13, 0.1101642744622578)	(14, 0.11543877827756863)	(15, 0.12125082852413462)	(16, 0.1279633372596052)	(17, 0.13364031873283552)	(18, 0.13975797913321156)	(19, 0.14479645367794589)	(20, 0.15209016743807308)	(21, 0.15966902638635339)	(22, 0.1689410201599831)	(23, 0.17767683183340144)	(24, 0.18569364104673988)	(25, 0.1937240935705163)	(26, 0.20356501338940844)	(27, 0.20990233108783543)	(28, 0.2173311136212983)	(29, 0.222546951201726)	(30, 0.22828669190297085)	(31, 0.23373583009188742)	(32, 0.23938552494424184)	(33, 0.24485512809881532)	(34, 0.2510969426241767)	(35, 0.25620909104527595)	(36, 0.2612721235487986)	(37, 0.2661878082995914)	(38, 0.2716983413854787)	(39, 0.27644212042475336)	(40, 0.28218049679495444)	(41, 0.2872326146501267)	(42, 0.29347715783757566)	(43, 0.29903544250999586)	(44, 0.30379695785283983)	(45, 0.3087180999278078)	(46, 0.314156323468374)	(47, 0.31908974452273614)	(48, 0.3231677300126389)
C1-RNA-BS-030325_S44_L001_R1_001 - polya	(1, 0.0269068884343184)	(2, 0.03738401374392865)	(3, 0.04216731157822787)	(4, 0.04891515421971753)	(5, 0.05248083656942362)	(6, 0.05589632846288033)	(7, 0.05945798785393688)	(8, 0.06756961347761951)	(9, 0.0812020793546831)	(10, 0.09497132582583094)	(11, 0.09879581851532389)	(12, 0.10269138347429199)	(13, 0.10929305861818182)	(14, 0.11452290486257963)	(15, 0.12029585052466488)	(16, 0.12701016851074173)	(17, 0.1326865631652381)	(18, 0.1387893914365854)	(19, 0.14379529298282565)	(20, 0.1510781891247037)	(21, 0.15862123659258515)	(22, 0.1678405168311069)	(23, 0.17653547145897236)	(24, 0.1845290902956019)	(25, 0.19252405011844798)	(26, 0.20230654456790487)	(27, 0.20863868148227574)	(28, 0.2160543352595885)	(29, 0.22125467980722305)	(30, 0.22697934996551386)	(31, 0.23242777696320316)	(32, 0.23807064696228672)	(33, 0.2435405297394402)	(34, 0.24976806972892313)	(35, 0.25490672891059807)	(36, 0.25997029286414836)	(37, 0.2648581876233355)	(38, 0.27039511971131464)	(39, 0.2751475748626341)	(40, 0.2809097926349872)	(41, 0.2859840844782696)	(42, 0.29225185405424786)	(43, 0.2978276747425058)	(44, 0.30261499553545457)	(45, 0.30756859861925084)	(46, 0.3130451863274869)	(47, 0.3180282911080464)	(48, 0.32215584668247116)
C1-RNA-BS-030325_S44_L001_R2 - polya	(1, 0.011542240630504309)	(2, 0.014015772812904346)	(3, 0.015006277150699396)	(4, 0.017348833552895127)	(5, 0.01861083976840535)	(6, 0.020218021737995667)	(7, 0.021814289059235624)	(8, 0.026053265612306177)	(9, 0.03212044576406181)	(10, 0.0373267330271829)	(11, 0.038838411823707585)	(12, 0.04080304852677215)	(13, 0.04359856283550776)	(14, 0.04757013050399453)	(15, 0.05503574997563987)	(16, 0.06593266202242921)	(17, 0.07104071745039708)	(18, 0.07623472573412403)	(19, 0.07964418901256731)	(20, 0.084168310753791)	(21, 0.08828040451978862)	(22, 0.09332297205765434)	(23, 0.09718402891159372)	(24, 0.10078722719825588)	(25, 0.10435631720882317)	(26, 0.10949165925766693)	(27, 0.11326949191793484)	(28, 0.11687678319772837)	(29, 0.11982373825232523)	(30, 0.12287301813520668)	(31, 0.12581315153458456)	(32, 0.12861275883645154)	(33, 0.13149149733885865)	(34, 0.13426108935776218)	(35, 0.13740723674475305)	(36, 0.14031871919221123)	(37, 0.14272676348450913)	(38, 0.1456396102630111)	(39, 0.14850061246184887)	(40, 0.15306975712751777)	(41, 0.15623500514912178)	(42, 0.15915194492075516)	(43, 0.16241133178438102)	(44, 0.16551245624692668)	(45, 0.17002975633293138)	(46, 0.17412684245744728)	(47, 0.17818163431960551)	(48, 0.18192808736586613)
C1-RNA-BS-030325_S44_L001_R2_001 - polya	(1, 0.011445317357932099)	(2, 0.013896640161716501)	(3, 0.01488360601706952)	(4, 0.017223626964883405)	(5, 0.018476108091105854)	(6, 0.02009199648200312)	(7, 0.02167972416235363)	(8, 0.025910535675449795)	(9, 0.031932904773806337)	(10, 0.037113134528193176)	(11, 0.038623085007985974)	(12, 0.04058360685652689)	(13, 0.043378222131738434)	(14, 0.047344859360181686)	(15, 0.05478196891695865)	(16, 0.06564798022935746)	(17, 0.07079200335589847)	(18, 0.07598430198623392)	(19, 0.0794185676867218)	(20, 0.08395110109853322)	(21, 0.08806658779700934)	(22, 0.09308589920541471)	(23, 0.0969372116192379)	(24, 0.10054580552787239)	(25, 0.10412892069839313)	(26, 0.1092796487560167)	(27, 0.11305184298306568)	(28, 0.11665775491926714)	(29, 0.11963340333370782)	(30, 0.12268682894870624)	(31, 0.12564504454233227)	(32, 0.12845441066592544)	(33, 0.13133619004521027)	(34, 0.13411069052717414)	(35, 0.13726737208084397)	(36, 0.1401907220328407)	(37, 0.14261522511229485)	(38, 0.14554393900915763)	(39, 0.148429741347092)	(40, 0.15301725519378043)	(41, 0.156196733513131)	(42, 0.15915226713432398)	(43, 0.16243366040612947)	(44, 0.16555145335952046)	(45, 0.17007996381268237)	(46, 0.17419545051115848)	(47, 0.1782800945266548)	(48, 0.182076426505601)
C1-RNA-BS-030325_S44_L001_R2_001 - polyg	(1, 0.13630454397738817)	(2, 0.13834552499891983)	(3, 0.1395322978005332)	(4, 0.14443226143566895)	(5, 0.14535888291127894)	(6, 0.14665025263778023)	(7, 0.14787591403967243)	(8, 0.14892858821963456)	(9, 0.15075769341895728)	(10, 0.15204638117302555)	(11, 0.1535603546114679)	(12, 0.15463850752954372)	(13, 0.1553894598107906)	(14, 0.15594194613199364)	(15, 0.1564957734394132)	(16, 0.15694768579437784)	(17, 0.1572815913622894)	(18, 0.15760342805425234)	(19, 0.15791453685648318)	(20, 0.15831951469386987)	(21, 0.15912544740999374)	(22, 0.1613635534053527)	(23, 0.16191603972655574)	(24, 0.16236661109530387)	(25, 0.16284936613324827)	(26, 0.16324898002576893)	(27, 0.16373709900857938)	(28, 0.1640991652870377)	(29, 0.16455107764200233)	(30, 0.1649091209618111)	(31, 0.1653167807716308)	(32, 0.16571371269171845)	(33, 0.16614282828100238)	(34, 0.16653171428379093)	(35, 0.16687232478278505)	(36, 0.1672182992266452)	(37, 0.16757500156023747)	(38, 0.1678847693762518)	(39, 0.16828036031012292)	(40, 0.16860487897451887)	(41, 0.16894280750107996)	(42, 0.1693075557519713)	(43, 0.16965218920961495)	(44, 0.1700960556472805)	(45, 0.17059222054739004)	(46, 0.1709918344399107)	(47, 0.17154700273354676)	(48, 0.17194795761228393)
C2-RNA-BS-030325_S45_L001_R1 - polya	(1, 0.03214606388107815)	(2, 0.042547918828620045)	(3, 0.047781860395350366)	(4, 0.05488713737763165)	(5, 0.05890036272664457)	(6, 0.06296834315666328)	(7, 0.06690426721484448)	(8, 0.07547021650513328)	(9, 0.08970170623596277)	(10, 0.10367230411023524)	(11, 0.10739726006218825)	(12, 0.11148617625847387)	(13, 0.1182081676737146)	(14, 0.12415231484996125)	(15, 0.13050551469019236)	(16, 0.13801662344934013)	(17, 0.1440928269974243)	(18, 0.1509017823648507)	(19, 0.1566462345397821)	(20, 0.1644649380186977)	(21, 0.17268786283092077)	(22, 0.1831911757226793)	(23, 0.19296334723865458)	(24, 0.20220407238016183)	(25, 0.21120323098781998)	(26, 0.22246506279586464)	(27, 0.229283680824645)	(28, 0.23689946841512738)	(29, 0.24284522603493303)	(30, 0.24914206035059935)	(31, 0.2548784603077358)	(32, 0.2608322701453364)	(33, 0.26637380643183456)	(34, 0.2728188015549283)	(35, 0.2785471492942698)	(36, 0.2840113842899363)	(37, 0.2893757717849451)	(38, 0.29508640464513763)	(39, 0.3003525550830478)	(40, 0.30657208810788245)	(41, 0.31213617060420656)	(42, 0.3192672146834317)	(43, 0.32560108920095493)	(44, 0.3307384041541456)	(45, 0.3360625305601796)	(46, 0.3421194087855558)	(47, 0.3476963748303519)	(48, 0.3521556930452061)
C2-RNA-BS-030325_S45_L001_R1_001 - polya	(1, 0.03184341697399435)	(2, 0.042143234153030014)	(3, 0.04732792873854705)	(4, 0.05437051174674859)	(5, 0.058353508288656916)	(6, 0.06238235909801873)	(7, 0.066292621284656)	(8, 0.07479147257991493)	(9, 0.08897150949449766)	(10, 0.10285270307981452)	(11, 0.10656215519863824)	(12, 0.11064950972854416)	(13, 0.11733000214202677)	(14, 0.12321832255570941)	(15, 0.12954779264592736)	(16, 0.1370473371470275)	(17, 0.14310484399579715)	(18, 0.14987230139927776)	(19, 0.15557088001660113)	(20, 0.16334871248569485)	(21, 0.17156136990477855)	(22, 0.18204144179035553)	(23, 0.19175780294558642)	(24, 0.20095711770573835)	(25, 0.20993190467353176)	(26, 0.22114564483836457)	(27, 0.22797002478075296)	(28, 0.2356039697209409)	(29, 0.24154288794698603)	(30, 0.2478328284962958)	(31, 0.2535756801994363)	(32, 0.25952408551529943)	(33, 0.2650692895138991)	(34, 0.27152051059011423)	(35, 0.27725703756670944)	(36, 0.2827184389385838)	(37, 0.2880833882306421)	(38, 0.2937930351194198)	(39, 0.29910896778075197)	(40, 0.3053451481544266)	(41, 0.3109188134224801)	(42, 0.31807524150849725)	(43, 0.32442526695998747)	(44, 0.3295862438209596)	(45, 0.33494170602319995)	(46, 0.3410229305965145)	(47, 0.34660292059111336)	(48, 0.35109980116482803)
C2-RNA-BS-030325_S45_L001_R2 - polya	(1, 0.014442457837057705)	(2, 0.016995010878063106)	(3, 0.01809011249817899)	(4, 0.020594352232414577)	(5, 0.021876265305373756)	(6, 0.023879657092762227)	(7, 0.02560927347512172)	(8, 0.02989466378560461)	(9, 0.03613996390738313)	(10, 0.04156393781407474)	(11, 0.04308419653376502)	(12, 0.04534203840347454)	(13, 0.04852266443248758)	(14, 0.05329279825422765)	(15, 0.06209226186057057)	(16, 0.07478738843611984)	(17, 0.0806236358939139)	(18, 0.08746641057607918)	(19, 0.09134918999681357)	(20, 0.0964768422886503)	(21, 0.10115518082752771)	(22, 0.10706872957615347)	(23, 0.11124299928106579)	(24, 0.11532547370311544)	(25, 0.11934836171348231)	(26, 0.12562426026288173)	(27, 0.1296213811763047)	(28, 0.1334220279755304)	(29, 0.1365414571493017)	(30, 0.1401263045116222)	(31, 0.14336168562164103)	(32, 0.14625726314071216)	(33, 0.14929133880585674)	(34, 0.1521756432200149)	(35, 0.155346606587674)	(36, 0.15851595951177408)	(37, 0.16115064517428815)	(38, 0.16448587378496463)	(39, 0.1677695682017533)	(40, 0.1725831839995862)	(41, 0.17605530031277714)	(42, 0.1794388422302234)	(43, 0.1830881073349037)	(44, 0.18661497872910043)	(45, 0.1915413255760629)	(46, 0.19606989286395388)	(47, 0.20056464083710598)	(48, 0.20469542856592546)
C2-RNA-BS-030325_S45_L001_R2 - polyg	(1, 0.11712433915851167)	(2, 0.11790379384106474)	(3, 0.11814536037491384)	(4, 0.12020028635619011)	(5, 0.1202598727678729)	(6, 0.1205497526084918)	(7, 0.12071079696439119)	(8, 0.12083802200555172)	(9, 0.1216657899948746)	(10, 0.12194117584346256)	(11, 0.12234700762032905)	(12, 0.12274478717940054)	(13, 0.12302017302798851)	(14, 0.12318443827100589)	(15, 0.12330361109437145)	(16, 0.12340506903858807)	(17, 0.1234759285551838)	(18, 0.12356933428160545)	(19, 0.12367723400005803)	(20, 0.12385760367866536)	(21, 0.12450178110226294)	(22, 0.12663239793081194)	(23, 0.12689328978736894)	(24, 0.12713485632121804)	(25, 0.12737642285506715)	(26, 0.1275165314446996)	(27, 0.1277822546319336)	(28, 0.12790625878597614)	(29, 0.12809951201305542)	(30, 0.128205801287949)	(31, 0.12840227540214627)	(32, 0.12853111088686578)	(33, 0.12865028371023135)	(34, 0.1287952236305408)	(35, 0.12889185024408042)	(36, 0.12895948887355818)	(37, 0.12901907528524095)	(38, 0.12910281835030865)	(39, 0.12920588673808425)	(40, 0.12929929246450592)	(41, 0.12936532065042466)	(42, 0.12939913996516353)	(43, 0.12946677859464129)	(44, 0.12955052165970896)	(45, 0.1296664735959565)	(46, 0.12970673468493138)	(47, 0.12982107617761995)	(48, 0.12989837746845165)
C2-RNA-BS-030325_S45_L001_R2_001 - polya	(1, 0.014325505625124824)	(2, 0.01686330215143005)	(3, 0.01795906102540483)	(4, 0.020444678557711257)	(5, 0.021722273319863667)	(6, 0.02371772454490865)	(7, 0.025441212528505345)	(8, 0.029713565309861557)	(9, 0.03591970323244598)	(10, 0.04130837024904923)	(11, 0.04283579170974135)	(12, 0.045087394359871344)	(13, 0.048257663540707464)	(14, 0.053020182629325126)	(15, 0.06179732189257765)	(16, 0.07440250189737843)	(17, 0.0802797540396068)	(18, 0.08711836461672212)	(19, 0.09102230207681408)	(20, 0.09614058703360538)	(21, 0.10081614113222503)	(22, 0.10673292281536158)	(23, 0.11091831060671979)	(24, 0.11499143450189878)	(25, 0.11901396058471528)	(26, 0.1252833457727528)	(27, 0.12929006003920604)	(28, 0.13309122069293672)	(29, 0.13623460978595528)	(30, 0.139852353369872)	(31, 0.1430953569059792)	(32, 0.14598733811882172)	(33, 0.14905483049329657)	(34, 0.15194997406941174)	(35, 0.1551344738849748)	(36, 0.1583142301556289)	(37, 0.16097219648629502)	(38, 0.1643258827369451)	(39, 0.16762738999359636)	(40, 0.1724341821680312)	(41, 0.17595863603540463)	(42, 0.17936924482496247)	(43, 0.1830328426763327)	(44, 0.1866015696295233)	(45, 0.19152853160831898)	(46, 0.1960744288127598)	(47, 0.20060293301920104)	(48, 0.2047914831738319)
