Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
C1-RNA-BS-030325_S44_L001_R1	0.5872367322012169	1.6525323334860564
C1-RNA-BS-030325_S44_L001_R1_001	0.5850628993607814	1.813846117165023
C1-RNA-BS-030325_S44_L001_R2	0.1767368077442268	0.47477628859225246
C1-RNA-BS-030325_S44_L001_R2_001	0.17517839340786195	0.7446898756157507
C2-RNA-BS-030325_S45_L001_R1	0.45516449440913587	0.9437344195624829
C2-RNA-BS-030325_S45_L001_R1_001	0.4529358044524842	1.0454029824026658
C2-RNA-BS-030325_S45_L001_R2	0.1297035137978134	0.10002787033623192
C2-RNA-BS-030325_S45_L001_R2_001	0.18119076607001147	0.23348992987317133
C3-RNA-BS-030325_S46_L001_R1	0.3494950871034459	0.9477386628296682
C3-RNA-BS-030325_S46_L001_R1_001	0.3477295592857165	0.9427524718711808
C3-RNA-BS-030325_S46_L001_R2	0.1193868233764871	0.1165487930536982
C3-RNA-BS-030325_S46_L001_R2_001	0.14898014466725165	0.23335393016215897
F1-RNA-BS-030325_S47_L001_R1	0.4925664946633405	1.3019617491940902
F1-RNA-BS-030325_S47_L001_R1_001	0.489901241656278	1.5289484949884968
F1-RNA-BS-030325_S47_L001_R2	0.1522814931255624	0.21899417922518769
F1-RNA-BS-030325_S47_L001_R2_001	0.23353420053150287	0.5036449688885323
F2-RNA-BS-030325_S48_L001_R1	0.5329885223820927	1.3214834879547748
F2-RNA-BS-030325_S48_L001_R1_001	0.5295517743661118	1.5401794073892145
F2-RNA-BS-030325_S48_L001_R2	0.15420551532354976	0.11815758999492271
F2-RNA-BS-030325_S48_L001_R2_001	0.22670017590214875	0.39928102838634083
F3-RNA-BS-030325_S49_L001_R1	0.458631652931154	0.9974074752744622
F3-RNA-BS-030325_S49_L001_R1_001	0.45691213158185795	1.1303453273268094
F3-RNA-BS-030325_S49_L001_R2	0.13853337496923795	0.10544348131102815
F3-RNA-BS-030325_S49_L001_R2_001	0.13725509128835608	0.3515071502562166
F4-RNA-BS-030325_S50_L001_R1	0.40996890835041455	0.9268553279454439
F4-RNA-BS-030325_S50_L001_R1_001	0.4084918509335556	0.9228736232909951
F4-RNA-BS-030325_S50_L001_R2	0.12066828880724022	0.1034743043305739
F4-RNA-BS-030325_S50_L001_R2_001	0.1345869869651477	0.22209678380826048
L1-RNA-BS-030325_S57_L001_R1	0.583840603176517	1.536452828251102
L1-RNA-BS-030325_S57_L001_R1_001	0.581363420528268	1.5305313815685793
L1-RNA-BS-030325_S57_L001_R2	0.14561567905372963	0.33397997611770924
