Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58
C1-RNA-BS-030325_S44_L001_R1	(1, 0.029123010460844555)	(2, 0.0)	(3, 0.0003833770233063488)	(4, 0.0004529579065398854)	(5, 0.0)	(6, 1.3643310437948355e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 1.3645115489392028e-06)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.27024985274900265)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 4.373048894198742e-05)	(34, 0.0)	(35, 1.2303916750933686e-05)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 1.5058759622290717e-05)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 2.1932504800065754e-05)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 2.6068266946352645e-05)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)
C1-RNA-BS-030325_S44_L001_R1_001	(1, 0.19702574084727958)	(2, 0.1677976052721785)	(3, 0.1682052650819982)	(4, 0.16827097340660732)	(5, 0.1677976052721785)	(6, 0.167798946258395)	(7, 0.1677976052721785)	(8, 0.1677976052721785)	(9, 0.1677976052721785)	(10, 0.1677976052721785)	(11, 0.1677976052721785)	(12, 0.1677976052721785)	(13, 0.1677976052721785)	(14, 0.1677976052721785)	(15, 0.1677976052721785)	(16, 0.1677976052721785)	(17, 0.1677976052721785)	(18, 0.1677976052721785)	(19, 0.167798946258395)	(20, 0.1677976052721785)	(21, 0.1677976052721785)	(22, 0.1677976052721785)	(23, 0.435333742369889)	(24, 0.16787001852787017)	(25, 0.1678968382522004)	(26, 0.1679290219213967)	(27, 0.1679625465768095)	(28, 0.16801350405303697)	(29, 0.1680497106808828)	(30, 0.16810871407440933)	(31, 0.16819721916469915)	(32, 0.16824951762714313)	(33, 0.16842920978015577)	(34, 0.16878859408618108)	(35, 0.1689159877767497)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 2.0149025957130447e-05)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 2.4179367058320472e-05)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 3.224378060799652e-05)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 2.4175134830267083e-05)
C1-RNA-BS-030325_S44_L001_R2	(1, 1.7736303569332863e-05)	(2, 7.503820740871596e-05)	(3, 0.8351643338106581)	(4, 0.0)	(5, 2.728662087589671e-06)	(6, 1.3643310437948355e-06)	(7, 0.0)	(8, 0.2581737277483405)	(9, 0.0)	(10, 0.0)	(11, 1.5007641481743191e-05)	(12, 0.0)	(13, 0.2741186646571708)	(14, 2.4557958788307038e-05)	(15, 1.2278979394153519e-05)	(16, 0.45408484398205995)	(17, 5.457324175179342e-06)	(18, 6.824055127337756e-06)	(19, 1.2287460384545083e-05)	(20, 1.365744526888068e-06)	(21, 0.2605147625032085)	(22, 0.0003184309602796737)	(23, 0.23573414622792763)	(24, 3.2820809947024754e-05)	(25, 0.0)	(26, 0.5571862150192506)	(27, 1.0950241718373253e-05)	(28, 8.215018469483732e-05)	(29, 2.0543166808597123e-05)	(30, 0.0005493368011600239)	(31, 2.3294682932439374e-05)	(32, 6.8532561601863645e-06)	(33, 0.00010282551772339697)	(34, 0.00010696736014429074)	(35, 1.3717385373069674e-05)	(36, 0.2797460659453131)	(37, 1.3724849676182072e-06)	(38, 6.864321038474025e-06)	(39, 5.767604035526628e-05)	(40, 1.3736284491638655e-05)	(41, 0.00012915746368212348)	(42, 0.0011036452647172196)	(43, 2.6120911554923423e-05)	(44, 2.062780107489271e-05)	(45, 0.2646945512173241)	(46, 3.715129178343868e-05)	(47, 5.780766097403431e-05)	(48, 0.0002519498925357986)	(49, 1.652633330738699e-05)	(50, 6.888282080220961e-06)	(51, 1.3780713161552608e-06)	(52, 0.267054410980087)	(53, 4.8268709644859104e-05)	(54, 4.967987530351299e-05)	(55, 7.048525073324356e-05)	(56, 7.373869954429484e-05)	(57, 0.00012008696183117406)	(58, 2.1675104062174603e-05)	(59, 0.0)
C1-RNA-BS-030325_S44_L001_R2_001	(1, 0.16798802531492324)	(2, 0.16804032377736722)	(3, 1.004547525637712)	(4, 0.167961205590593)	(5, 0.16796522854924253)	(6, 0.16796791052167556)	(7, 0.167961205590593)	(8, 0.42674338466691153)	(9, 0.167961205590593)	(10, 0.167961205590593)	(11, 0.1679853433424902)	(12, 0.167961205590593)	(13, 0.4430323442388859)	(14, 0.16799875320465532)	(15, 0.16798802531492324)	(16, 0.6239541816120698)	(17, 0.16797595643897464)	(18, 0.16796791052167556)	(19, 0.16797595643897464)	(20, 0.16796522854924253)	(21, 0.4284973946381095)	(22, 0.16831522595175225)	(23, 0.4038902975651097)	(24, 0.16808725829494514)	(25, 0.16805909758439838)	(26, 0.7245978791337476)	(27, 0.1681476026746882)	(28, 0.1683018160895871)	(29, 0.16825488157200919)	(30, 0.16893073862513136)	(31, 0.16838495723501085)	(32, 0.1683997080833925)	(33, 0.1686397446161482)	(34, 0.16910372584706143)	(35, 0.16909702091597886)	(36, 0.27920709472779504)	(37, 2.6865210602699238e-06)	(38, 4.0297862456303014e-05)	(39, 0.00011955052120400432)	(40, 3.223838696735267e-05)	(41, 0.00018268449955737291)	(42, 0.001448046152535328)	(43, 0.0001114917382338403)	(44, 0.00011820845257331138)	(45, 0.2639052332739683)	(46, 0.0001302988302926243)	(47, 0.00015044879682067305)	(48, 0.0003600047316442789)	(49, 3.089639786285586e-05)	(50, 1.6120682871051705e-05)	(51, 2.5524845911878882e-05)	(52, 0.26824573394888296)	(53, 0.00010346329124442167)	(54, 0.00012635084850912316)	(55, 0.00019244244860541803)	(56, 0.0001746824635042632)	(57, 0.00022798678783200591)	(58, 7.510428229596795e-05)	(59, 0.26915488003264454)
C2-RNA-BS-030325_S45_L001_R1	(1, 0.027646484577249063)	(2, 0.0)	(3, 0.00042676754313339556)	(4, 0.00046702863210824425)	(5, 0.0)	(6, 1.6104435589939454e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 3.2213338374076526e-06)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.2551087276374474)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 5.8073065046204464e-05)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 1.1311732406038448e-05)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 4.858415174281636e-06)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)
C2-RNA-BS-030325_S45_L001_R1_001	(1, 0.13421860319963805)	(2, 0.10659536001300111)	(3, 0.10705232150589968)	(4, 0.10708868868353522)	(5, 0.10659536001300111)	(6, 0.10659694119463743)	(7, 0.10659536001300111)	(8, 0.10659536001300111)	(9, 0.10659536001300111)	(10, 0.10659536001300111)	(11, 0.10659536001300111)	(12, 0.10659536001300111)	(13, 0.10659536001300111)	(14, 0.10659536001300111)	(15, 0.10659536001300111)	(16, 0.10659536001300111)	(17, 0.10659536001300111)	(18, 0.10659536001300111)	(19, 0.10659852237627376)	(20, 0.10659536001300111)	(21, 0.10659536001300111)	(22, 0.10659536001300111)	(23, 0.3590373329791908)	(24, 0.1066696755499085)	(25, 0.10670604272754401)	(26, 0.10672501690717993)	(27, 0.10677403353790609)	(28, 0.10681040071554161)	(29, 0.10686257970954041)	(30, 0.10691633988517554)	(31, 0.1070127919649915)	(32, 0.10709185104680785)	(33, 0.10734484010862023)	(34, 0.10776385324224695)	(35, 0.10793462085897029)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 1.266325608245869e-05)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 6.332714753756186e-06)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)
C2-RNA-BS-030325_S45_L001_R2	(1, 0.0)	(2, 7.408040371372149e-05)	(3, 0.8122465343013043)	(4, 0.0)	(5, 1.6104435589939454e-06)	(6, 1.6104435589939454e-06)	(7, 0.0)	(8, 0.2593087905385282)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 1.6104435589939454e-06)	(13, 0.27315216337164006)	(14, 1.6104435589939454e-06)	(15, 9.662661353963672e-06)	(16, 0.4854215079955141)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.26052526943183024)	(22, 0.00011132512245481123)	(23, 0.25325900821591607)	(24, 8.072460341415024e-06)	(25, 0.0)	(26, 0.5442451050340128)	(27, 0.0)	(28, 1.1315414878150844e-05)	(29, 1.1318560563677253e-05)	(30, 0.0003364156174286774)	(31, 1.2942545887108871e-05)	(32, 0.0)	(33, 9.550358595731458e-05)	(34, 7.124248513217909e-05)	(35, 0.0)	(36, 0.2674311388874795)	(37, 0.0)	(38, 4.8628247390308366e-06)	(39, 4.377762439034996e-05)	(40, 1.6218686804393698e-05)	(41, 6.813813787456934e-05)	(42, 0.0006539922535185555)	(43, 1.9479217914595187e-05)	(44, 6.494986844404146e-06)	(45, 0.26314338787350317)	(46, 2.437043925507171e-05)	(47, 2.437774030178732e-05)	(48, 4.226736036725524e-05)	(49, 4.878516404133372e-06)	(50, 3.253460498524173e-06)	(51, 0.0)	(52, 0.2483853624776673)	(53, 3.256942506789829e-05)	(54, 3.5850053241402935e-05)	(55, 4.569655917965537e-05)	(56, 2.4642906217444664e-05)	(57, 6.917563313630932e-05)	(58, 2.3745630233228666e-05)	(59, 0.0)
C2-RNA-BS-030325_S45_L001_R2_001	(1, 0.10500627246849223)	(2, 0.10508058800539961)	(3, 0.9187092226103092)	(4, 0.10500627246849223)	(5, 0.10500785365012855)	(6, 0.10500785365012855)	(7, 0.10500627246849223)	(8, 0.3650853527381425)	(9, 0.10500627246849223)	(10, 0.10500627246849223)	(11, 0.10500627246849223)	(12, 0.10500943483176489)	(13, 0.3790677419481843)	(14, 0.10500943483176489)	(15, 0.10501892192158284)	(16, 0.5921367109881894)	(17, 0.10500627246849223)	(18, 0.10500627246849223)	(19, 0.10500627246849223)	(20, 0.10500627246849223)	(21, 0.3652244967221393)	(22, 0.10513118581776208)	(23, 0.35844122750229546)	(24, 0.10509323745849022)	(25, 0.10512486109121677)	(26, 0.6488110043790667)	(27, 0.10519443308321517)	(28, 0.10525293680375927)	(29, 0.10530985934266705)	(30, 0.10572887247629378)	(31, 0.1054505845083002)	(32, 0.10551225059211694)	(33, 0.10580635037647382)	(34, 0.10629177313882628)	(35, 0.10637241340227896)	(36, 0.2665436969070845)	(37, 0.0)	(38, 1.1080099846262032e-05)	(39, 5.381772408548768e-05)	(40, 2.5326026289333355e-05)	(41, 8.389261346590731e-05)	(42, 0.0008072702186049763)	(43, 6.173257212323247e-05)	(44, 3.640649011217931e-05)	(45, 0.26160195025371435)	(46, 4.748701562531757e-05)	(47, 3.324103774530916e-05)	(48, 5.856794133670372e-05)	(49, 1.2663529298388871e-05)	(50, 7.915116768076726e-06)	(51, 0.0)	(52, 0.24908230937745)	(53, 6.966913289591357e-05)	(54, 7.444678436143603e-05)	(55, 9.039515337345673e-05)	(56, 3.350927297323949e-05)	(57, 0.0001031461491048314)	(58, 4.067485886619786e-05)	(59, 0.2666027865077237)
C3-RNA-BS-030325_S46_L001_R1	(1, 0.028016854491698596)	(2, 0.0)	(3, 0.00044518122710414257)	(4, 0.00044518122710414257)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 3.478444410440718e-06)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.2600459336024087)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 3.8319989645242075e-05)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 3.4896074343434287e-06)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 8.734675666643549e-06)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 1.3987639682318324e-05)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)
C3-RNA-BS-030325_S46_L001_R1_001	(1, 0.11355134638905029)	(2, 0.08541992486603144)	(3, 0.0858875303924393)	(4, 0.08588411721341442)	(5, 0.08541992486603144)	(6, 0.08541992486603144)	(7, 0.08541992486603144)	(8, 0.08541992486603144)	(9, 0.08541992486603144)	(10, 0.08541992486603144)	(11, 0.08541992486603144)	(12, 0.08541992486603144)	(13, 0.08541992486603144)	(14, 0.08541992486603144)	(15, 0.08541992486603144)	(16, 0.08541992486603144)	(17, 0.08541992486603144)	(18, 0.08541992486603144)	(19, 0.08542333804505632)	(20, 0.08541992486603144)	(21, 0.08541992486603144)	(22, 0.08541992486603144)	(23, 0.34263538959109074)	(24, 0.08547453573042944)	(25, 0.085500134573116)	(26, 0.08553767954238962)	(27, 0.08557522451166324)	(28, 0.08560594312288712)	(29, 0.08564690127118563)	(30, 0.08568103306143438)	(31, 0.08575612299998163)	(32, 0.08581244045389205)	(33, 0.0859421412568373)	(34, 0.0861878901466283)	(35, 0.08629199210688698)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 3.416154410042688e-06)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 1.5372979221881283e-05)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 2.050027084274495e-05)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 2.8042300944212316e-05)
