Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58
C1-RNA-BS-030325_S44_L001_R1	(1, 39.46244532818533)	(2, 39.54452506640404)	(3, 39.38991075010184)	(4, 39.5604125376893)	(5, 39.4728805506069)	(6, 39.58916960727758)	(7, 39.57516461267992)	(8, 39.49796339483437)	(9, 39.53132254403972)	(10, 39.54414365401743)	(11, 39.548373789705344)	(12, 39.55985338025432)	(13, 39.57793884342438)	(14, 39.55442137806331)	(15, 39.577592685351945)	(16, 39.624972737254915)	(17, 39.61183864973575)	(18, 39.61423512735313)	(19, 39.62125353909949)	(20, 39.61934791420155)	(21, 39.615664200936315)	(22, 39.61421549327976)	(23, 39.50243547110185)	(24, 39.621664261084405)	(25, 39.61696841398019)	(26, 39.60340536235354)	(27, 39.601239186134876)	(28, 39.59370144563936)	(29, 39.59690139551319)	(30, 39.5869297695699)	(31, 39.584506864273834)	(32, 39.581822469876975)	(33, 39.57880985041836)	(34, 39.55384647074167)	(35, 39.54589105983601)	(36, 39.57958259037792)	(37, 39.57815980435757)	(38, 39.561035716021934)	(39, 39.57505904886992)	(40, 39.574694574044386)	(41, 39.588964415460154)	(42, 39.57959691396732)	(43, 39.58526121586696)	(44, 39.578387571517425)	(45, 39.570790348170604)	(46, 39.57975847457749)	(47, 39.57716041506634)	(48, 39.58101255904573)	(49, 39.58441087580818)	(50, 39.57577175414121)	(51, 39.57937423731823)	(52, 39.576722168156486)	(53, 39.5842009485395)	(54, 39.5656910799211)	(55, 39.58656936615819)	(56, 39.58193665568125)	(57, 39.595981068392845)	(58, 39.63010596560907)	(59, 39.7610996850149)
C1-RNA-BS-030325_S44_L001_R1_001	(1, 39.32838614910356)	(2, 39.389317988088344)	(3, 39.2241138501589)	(4, 39.39707921401365)	(5, 39.30824872000854)	(6, 39.43145496655835)	(7, 39.41925191152892)	(8, 39.345897980826095)	(9, 39.37961396815228)	(10, 39.39392722591174)	(11, 39.40149918504245)	(12, 39.41354612245655)	(13, 39.43156511516617)	(14, 39.40850181506507)	(15, 39.4340729203094)	(16, 39.484946772636405)	(17, 39.4715501594151)	(18, 39.47412689124985)	(19, 39.480950392333675)	(20, 39.47853106546102)	(21, 39.47455391490064)	(22, 39.472640863964166)	(23, 39.36188234878885)	(24, 39.47918932877498)	(25, 39.473293816972706)	(26, 39.450911898787936)	(27, 39.44708818387045)	(28, 39.43653864530515)	(29, 39.43702663018934)	(30, 39.424294019703005)	(31, 39.41966643718816)	(32, 39.41397478211052)	(33, 39.406585733499746)	(34, 39.37769659924018)	(35, 39.36663225606636)	(36, 39.46179189580327)	(37, 39.457330732140726)	(38, 39.43634719095636)	(39, 39.44751471429236)	(40, 39.444276184252146)	(41, 39.45522968240266)	(42, 39.44173236167029)	(43, 39.443603962564424)	(44, 39.43209431736711)	(45, 39.42186574753406)	(46, 39.42740348512683)	(47, 39.42096584793914)	(48, 39.42105283519467)	(49, 39.422060838485415)	(50, 39.410536352941854)	(51, 39.41048275004146)	(52, 39.40432490397164)	(53, 39.40910142033755)	(54, 39.387015595455836)	(55, 39.40528978714632)	(56, 39.395725761459666)	(57, 39.3973419357727)	(58, 39.39420642518412)	(59, 39.469547982797536)
C1-RNA-BS-030325_S44_L001_R2	(1, 39.47300980732999)	(2, 39.3751442677754)	(3, 38.82985441196145)	(4, 39.40779650249371)	(5, 39.341741650982996)	(6, 39.40956590342441)	(7, 39.421544975568516)	(8, 39.26046940573587)	(9, 39.39788774813532)	(10, 39.4147546453903)	(11, 39.40796237786201)	(12, 39.398925458327234)	(13, 39.29762709814673)	(14, 39.41173898262434)	(15, 39.449859074153494)	(16, 39.24596413823107)	(17, 39.421819424401285)	(18, 39.40813755198787)	(19, 39.43527692194858)	(20, 39.43316196517308)	(21, 39.30113711908156)	(22, 39.41631902911849)	(23, 39.35645154995058)	(24, 39.427949747729684)	(25, 39.4353180546516)	(26, 39.23128072669802)	(27, 39.4276816745022)	(28, 39.455761872245425)	(29, 39.45647735636286)	(30, 39.45045061508735)	(31, 39.47234629952383)	(32, 39.436581886405364)	(33, 39.456298558579554)	(34, 39.42203801894255)	(35, 39.45372531950877)	(36, 39.309303438209625)	(37, 39.42863722550078)	(38, 39.42025418965208)	(39, 39.42187108133361)	(40, 39.43837810743945)	(41, 39.428074867195555)	(42, 39.41406989106458)	(43, 39.42561014599995)	(44, 39.43298358163178)	(45, 39.314175680485185)	(46, 39.42378701445119)	(47, 39.393329574000205)	(48, 39.41286646146289)	(49, 39.4158858938215)	(50, 39.41231472467144)	(51, 39.41199380942803)	(52, 39.279353421763105)	(53, 39.420513812691176)	(54, 39.393035902679884)	(55, 39.40037840628785)	(56, 39.39795331978582)	(57, 39.42834660453901)	(58, 39.4631870032608)	(59, 39.62632556578059)
C1-RNA-BS-030325_S44_L001_R2_001	(1, 39.28560541679045)	(2, 39.12021716145348)	(3, 38.55122968301956)	(4, 39.122536504393835)	(5, 39.04616092944935)	(6, 39.114360377333135)	(7, 39.13396921648133)	(8, 38.972988031885755)	(9, 39.10860623229781)	(10, 39.12604414886009)	(11, 39.12631567174921)	(12, 39.112688891653704)	(13, 39.00996843559824)	(14, 39.12757635971108)	(15, 39.17094401487143)	(16, 38.96983708975309)	(17, 39.146214753954105)	(18, 39.12863013349974)	(19, 39.15610543917151)	(20, 39.14992746203259)	(21, 39.01512745095068)	(22, 39.125666688059866)	(23, 39.06410573880147)	(24, 39.130557103873144)	(25, 39.13541547011584)	(26, 38.92805780594647)	(27, 39.122376310180414)	(28, 39.14811726473892)	(29, 39.146261366634995)	(30, 39.13645907922898)	(31, 39.15789439524351)	(32, 39.116336991016276)	(33, 39.132073330168424)	(34, 39.09465783006814)	(35, 39.12341396531475)	(36, 39.03957960511844)	(37, 39.15493825152237)	(38, 39.143472157320275)	(39, 39.141285450725746)	(40, 39.15587292337102)	(41, 39.13958695598823)	(42, 39.12183587643416)	(43, 39.13094895400466)	(44, 39.13361709899237)	(45, 39.01192813021605)	(46, 39.11829390204161)	(47, 39.08195338204328)	(48, 39.09726556794118)	(49, 39.09884043803838)	(50, 39.08972452359151)	(51, 39.08701707461729)	(52, 38.94817865269869)	(53, 39.0894592122915)	(54, 39.05597899070351)	(55, 39.059356141397025)	(56, 39.04823750607716)	(57, 39.0566300969835)	(58, 39.033749461126774)	(59, 38.99751712336468)
C2-RNA-BS-030325_S45_L001_R1	(1, 39.45929560422667)	(2, 39.51968855825266)	(3, 39.37476471016992)	(4, 39.57373407782636)	(5, 39.46681492624796)	(6, 39.58470599758491)	(7, 39.582830378389495)	(8, 39.51603497715924)	(9, 39.539794430744756)	(10, 39.53636102949473)	(11, 39.53879647108012)	(12, 39.54481218636813)	(13, 39.56355401316576)	(14, 39.54704767528124)	(15, 39.56677857209507)	(16, 39.61443559090572)	(17, 39.605632197817094)	(18, 39.60856656040908)	(19, 39.613964179379785)	(20, 39.612789060568836)	(21, 39.60953086577102)	(22, 39.60702429708684)	(23, 39.504058425643755)	(24, 39.61301302005131)	(25, 39.609717707003384)	(26, 39.59461233121434)	(27, 39.59134001033182)	(28, 39.58718450911117)	(29, 39.59150637910476)	(30, 39.58097659347113)	(31, 39.57523537440592)	(32, 39.57504296086477)	(33, 39.56925104119763)	(34, 39.54932254785473)	(35, 39.54821275842354)	(36, 39.5730797256687)	(37, 39.573527557843704)	(38, 39.55659147137847)	(39, 39.57632402074437)	(40, 39.57397456814838)	(41, 39.58437866842851)	(42, 39.57390226262443)	(43, 39.57730260366563)	(44, 39.56918093691448)	(45, 39.561730392250155)	(46, 39.56940243995041)	(47, 39.569159601245)	(48, 39.57232630442081)	(49, 39.57609325080793)	(50, 39.568567485322134)	(51, 39.5719717122679)	(52, 39.568907023877216)	(53, 39.57474193556696)	(54, 39.5571798540981)	(55, 39.57682986757901)	(56, 39.574427905988486)	(57, 39.58553959165611)	(58, 39.621480725434225)	(59, 39.75812205335826)
C2-RNA-BS-030325_S45_L001_R1_001	(1, 39.343998572129735)	(2, 39.3810221931334)	(3, 39.22666948707306)	(4, 39.43174814445568)	(5, 39.32363402785735)	(6, 39.44932737402841)	(7, 39.44969904658384)	(8, 39.38623623445009)	(9, 39.411222256409125)	(10, 39.40848940531616)	(11, 39.4143748796029)	(12, 39.42053408805452)	(13, 39.43977738480495)	(14, 39.42407783233786)	(15, 39.44571042103531)	(16, 39.4971532801115)	(17, 39.48874809801637)	(18, 39.49179339060068)	(19, 39.496633324342206)	(20, 39.49545970808446)	(21, 39.491669552454916)	(22, 39.488362226449844)	(23, 39.38661154372328)	(24, 39.49381701848248)	(25, 39.48888420613163)	(26, 39.4653708335014)	(27, 39.460240879424134)	(28, 39.4536881781105)	(29, 39.455217844849116)	(30, 39.44217708092714)	(31, 39.43414901065228)	(32, 39.430759716191176)	(33, 39.42060030794145)	(34, 39.39714211855033)	(35, 39.39224867762222)	(36, 39.456190363865474)	(37, 39.453612378776235)	(38, 39.43331745741373)	(39, 39.45022375539681)	(40, 39.445163623212316)	(41, 39.45212578753816)	(42, 39.43802653917722)	(43, 39.43770448042281)	(44, 39.42549757001143)	(45, 39.414930913636134)	(46, 39.4194489348936)	(47, 39.41535445251333)	(48, 39.415216959023766)	(49, 39.41656365140265)	(50, 39.405852909998515)	(51, 39.405930320766025)	(52, 39.40010218468527)	(53, 39.4028570075888)	(54, 39.3816780943572)	(55, 39.39914687011608)	(56, 39.39179424468357)	(57, 39.39023563151303)	(58, 39.389012710385934)	(59, 39.47101554928189)
C2-RNA-BS-030325_S45_L001_R2	(1, 39.42484090508603)	(2, 39.32344235402787)	(3, 38.81170452341709)	(4, 39.39336658942228)	(5, 39.3308273006386)	(6, 39.407770171151824)	(7, 39.42258229020341)	(8, 39.25878984120608)	(9, 39.402876967233304)	(10, 39.412985077275685)	(11, 39.40557806758819)	(12, 39.40278887597063)	(13, 39.29620353713314)	(14, 39.41164953643221)	(15, 39.44337466257584)	(16, 39.22509504596319)	(17, 39.4122632120548)	(18, 39.405604635575635)	(19, 39.43201692404434)	(20, 39.42866492275326)	(21, 39.29770857404111)	(22, 39.41585368806982)	(23, 39.34581402488536)	(24, 39.427945323934516)	(25, 39.432389558667175)	(26, 39.232477695219025)	(27, 39.42230785605997)	(28, 39.45104683994975)	(29, 39.45345940485068)	(30, 39.44862411915919)	(31, 39.46776459146263)	(32, 39.44088533696656)	(33, 39.45219780864594)	(34, 39.42699688637957)	(35, 39.44895870092704)	(36, 39.31249114249172)	(37, 39.42688436085397)	(38, 39.42019610216069)	(39, 39.41865263724598)	(40, 39.434437329072274)	(41, 39.42332026795355)	(42, 39.411597392307314)	(43, 39.42129405768926)	(44, 39.427150863605924)	(45, 39.31016405060334)	(46, 39.41972648633603)	(47, 39.389804130382295)	(48, 39.410526126869776)	(49, 39.4173120496672)	(50, 39.411385813614096)	(51, 39.41284421524424)	(52, 39.28810680311765)	(53, 39.417416884374276)	(54, 39.394643953159296)	(55, 39.39708514705153)	(56, 39.396422316589586)	(57, 39.42501601795529)	(58, 39.465678714499255)	(59, 39.62912402477522)
C2-RNA-BS-030325_S45_L001_R2_001	(1, 39.24249275119138)	(2, 39.06112897222672)	(3, 38.5254095177426)	(4, 39.098982492224025)	(5, 39.02528307855306)	(6, 39.101084040736865)	(7, 39.126407328738935)	(8, 38.95991579638561)	(9, 39.10358423676386)	(10, 39.11545359808238)	(11, 39.11898791852317)	(12, 39.10628470525691)	(13, 38.99813570779169)	(14, 39.12096047423812)	(15, 39.15774173172056)	(16, 38.937548527452655)	(17, 39.12576745615435)	(18, 39.1151033347263)	(19, 39.14861028127624)	(20, 39.13921673416389)	(21, 39.007469897345416)	(22, 39.11974223703459)	(23, 39.04861667083124)	(24, 39.12606690033263)	(25, 39.12733817036824)	(26, 38.9199272384484)	(27, 39.114207785071116)	(28, 39.140385986360315)	(29, 39.14022932288379)	(30, 39.132526533295156)	(31, 39.150912576609635)	(32, 39.11932186408476)	(33, 39.12271938069036)	(34, 39.09739786361173)	(35, 39.11703357802067)	(36, 39.01944776688195)	(37, 39.130423721792596)	(38, 39.11957840030141)	(39, 39.114099795756985)	(40, 39.12921960683339)	(41, 39.11222927477701)	(42, 39.09601614996308)	(43, 39.103179045432405)	(44, 39.10530059659632)	(45, 38.9851139771718)	(46, 39.09168780313732)	(47, 39.05539497056451)	(48, 39.07178680484226)	(49, 39.077092495462736)	(50, 39.06597522106209)	(51, 39.06592505993828)	(52, 38.93457298582184)	(53, 39.06396245505094)	(54, 39.03517794302078)	(55, 39.03387477492796)	(56, 39.02466866509588)	(57, 39.03059997511722)	(58, 39.01368026370607)	(59, 38.98360492431087)
C3-RNA-BS-030325_S46_L001_R1	(1, 39.47591857364074)	(2, 39.50412167387237)	(3, 39.31653600800533)	(4, 39.517664156360446)	(5, 39.45602958062311)	(6, 39.58072978106422)	(7, 39.577907888560915)	(8, 39.501248446408816)	(9, 39.51303308908593)	(10, 39.52353470555462)	(11, 39.52845061925491)	(12, 39.541864903461494)	(13, 39.56180839639966)	(14, 39.536782464158435)	(15, 39.56506760989903)	(16, 39.61529504272792)	(17, 39.60279553638347)	(18, 39.6040053504753)	(19, 39.613092697795565)	(20, 39.612642420083205)	(21, 39.609705029238455)	(22, 39.60758887646966)	(23, 39.502556854788786)	(24, 39.61387892926232)	(25, 39.61123936273728)	(26, 39.596466153307446)	(27, 39.59290764847217)	(28, 39.588527866965045)	(29, 39.59073366506639)	(30, 39.58365433902557)	(31, 39.57521910323137)	(32, 39.57442175941942)	(33, 39.57066680735909)	(34, 39.55114577279385)	(35, 39.5493216597467)	(36, 39.57593851654373)	(37, 39.57526339193344)	(38, 39.55831209458611)	(39, 39.572731469229765)	(40, 39.571316155344405)	(41, 39.58252180047463)	(42, 39.57293458380159)	(43, 39.57774761298712)	(44, 39.57087937669918)	(45, 39.56374449959652)	(46, 39.57126934787732)	(47, 39.57061875490301)	(48, 39.57391773437886)	(49, 39.57682853245482)	(50, 39.56853277296846)	(51, 39.57096387272077)	(52, 39.56937561554357)	(53, 39.575818924361435)	(54, 39.557955210312784)	(55, 39.577078021583404)	(56, 39.574216804453165)	(57, 39.58759510697024)	(58, 39.622571170717734)	(59, 39.75726252989208)
C3-RNA-BS-030325_S46_L001_R1_001	(1, 39.36120228138934)	(2, 39.36595096910307)	(3, 39.16757673112301)	(4, 39.374307250518925)	(5, 39.312777530919604)	(6, 39.44680986283816)	(7, 39.446301845272096)	(8, 39.37453654788582)	(9, 39.38609835051468)	(10, 39.398339648823814)	(11, 39.40687812573602)	(12, 39.42109162714931)	(13, 39.44075843295422)	(14, 39.41589533513826)	(15, 39.44722599762487)	(16, 39.50156592387187)	(17, 39.48893183692056)	(18, 39.4903143109528)	(19, 39.49987960864284)	(20, 39.49875257692883)	(21, 39.495728158994886)	(22, 39.49319244003373)	(23, 39.388953167582876)	(24, 39.49886446093727)	(25, 39.4951271323004)	(26, 39.4707332100732)	(27, 39.46548810960209)	(28, 39.458772952924974)	(29, 39.45828555096022)	(30, 39.44880387615628)	(31, 39.43760598667505)	(32, 39.434140347088565)	(33, 39.42616340638953)	(34, 39.40242734028758)	(35, 39.397234290796604)	(36, 39.454853536731115)	(37, 39.45102866011237)	(38, 39.430465774024434)	(39, 39.442535478583004)	(40, 39.438005764401524)	(41, 39.44584013652159)	(42, 39.43295594563143)	(43, 39.434342143793856)	(44, 39.42333273368183)	(45, 39.41315275509768)	(46, 39.41793355468506)	(47, 39.41409372365844)	(48, 39.41376274505383)	(49, 39.41433128381481)	(50, 39.40283747386627)	(51, 39.40204775199945)	(52, 39.39743963917336)	(53, 39.4010373985559)	(54, 39.37942447806332)	(55, 39.39664932570316)	(56, 39.38908048837306)	(57, 39.38982763948835)	(58, 39.389066322646144)	(59, 39.468228595636724)
