Sample	Unique Reads	Duplicate Reads
C1-RNA-BS-030325_S44_L001_R1	20567895.0	52728099.0
C1-RNA-BS-030325_S44_L001_R1_001	20985531.0	53586451.0
C1-RNA-BS-030325_S44_L001_R2	23848296.0	49447698.0
C1-RNA-BS-030325_S44_L001_R2_001	24640553.0	49931429.0
C2-RNA-BS-030325_S45_L001_R1	20078272.0	42016422.0
C2-RNA-BS-030325_S45_L001_R1_001	20455428.0	42788413.0
C2-RNA-BS-030325_S45_L001_R2	22431782.0	39662912.0
C2-RNA-BS-030325_S45_L001_R2_001	23242750.0	40001091.0
C3-RNA-BS-030325_S46_L001_R1	20318166.0	37186505.0
C3-RNA-BS-030325_S46_L001_R1_001	20769880.0	37826519.0
C3-RNA-BS-030325_S46_L001_R2	22839443.0	34665228.0
C3-RNA-BS-030325_S46_L001_R2_001	23671255.0	34925144.0
F1-RNA-BS-030325_S47_L001_R1	18800528.0	36067597.0
F1-RNA-BS-030325_S47_L001_R1_001	19142968.0	36737070.0
F1-RNA-BS-030325_S47_L001_R2	20817204.0	34050921.0
F1-RNA-BS-030325_S47_L001_R2_001	21492339.0	34387699.0
F2-RNA-BS-030325_S48_L001_R1	20764686.0	45713481.0
F2-RNA-BS-030325_S48_L001_R1_001	21261277.0	46694118.0
F2-RNA-BS-030325_S48_L001_R2	23460068.0	43018099.0
F2-RNA-BS-030325_S48_L001_R2_001	24486928.0	43468467.0
F3-RNA-BS-030325_S49_L001_R1	19173784.0	38100501.0
F3-RNA-BS-030325_S49_L001_R1_001	19540635.0	38766856.0
F3-RNA-BS-030325_S49_L001_R2	21558798.0	35715487.0
F3-RNA-BS-030325_S49_L001_R2_001	22260600.0	36046891.0
F4-RNA-BS-030325_S50_L001_R1	20531072.0	38425594.0
F4-RNA-BS-030325_S50_L001_R1_001	20903490.0	39085222.0
F4-RNA-BS-030325_S50_L001_R2	23012291.0	35944375.0
F4-RNA-BS-030325_S50_L001_R2_001	23745686.0	36243026.0
L1-RNA-BS-030325_S57_L001_R1	21724437.0	39819073.0
L1-RNA-BS-030325_S57_L001_R1_001	22135230.0	40505106.0
L1-RNA-BS-030325_S57_L001_R2	24386754.0	37156756.0
L1-RNA-BS-030325_S57_L001_R2_001	25163405.0	37476931.0
L2-RNA-BS-030325_S58_L001_R1	17901404.0	34327718.0
L2-RNA-BS-030325_S58_L001_R1_001	18220898.0	34936015.0
L2-RNA-BS-030325_S58_L001_R2	19943805.0	32285317.0
L2-RNA-BS-030325_S58_L001_R2_001	20557169.0	32599744.0
L3-RNA-BS-030325_S59_L001_R1	19720627.0	38317509.0
L3-RNA-BS-030325_S59_L001_R1_001	20129567.0	38984082.0
L3-RNA-BS-030325_S59_L001_R2	22160188.0	35877948.0
L3-RNA-BS-030325_S59_L001_R2_001	22923725.0	36189924.0
P1-RNA-BS-030325_S54_L001_R1	15836126.0	31155730.0
P1-RNA-BS-030325_S54_L001_R1_001	16147216.0	31722741.0
P1-RNA-BS-030325_S54_L001_R2	17795410.0	29196446.0
P1-RNA-BS-030325_S54_L001_R2_001	18416269.0	29453688.0
P2-RNA-BS-030325_S2_L001_R1	8795775.0	6627090.0
P2-RNA-BS-030325_S2_L001_R1_001	8948545.0	6835172.0
P2-RNA-BS-030325_S2_L001_R2	10955575.0	4467290.0
P2-RNA-BS-030325_S2_L001_R2_001	11150013.0	4633704.0
P2-RNA-BS-030325_S55_L001_R1	13642652.0	23668105.0
P2-RNA-BS-030325_S55_L001_R1_001	13893661.0	24169480.0
P2-RNA-BS-030325_S55_L001_R2	15319038.0	21991719.0
P2-RNA-BS-030325_S55_L001_R2_001	15808928.0	22254213.0
P3-RNA-BS-030325_S56_L001_R1	14828798.0	28259978.0
P3-RNA-BS-030325_S56_L001_R1_001	15111582.0	28783879.0
P3-RNA-BS-030325_S56_L001_R2	16749305.0	26339471.0
P3-RNA-BS-030325_S56_L001_R2_001	17288193.0	26607268.0
Q1-RNA-BS-030325_S51_L001_R1	21681578.0	38984782.0
Q1-RNA-BS-030325_S51_L001_R1_001	22104857.0	39700903.0
Q1-RNA-BS-030325_S51_L001_R2	24348870.0	36317490.0
Q1-RNA-BS-030325_S51_L001_R2_001	25117304.0	36688456.0
Q2-RNA-BS-030325_S52_L001_R1	16755225.0	33565981.0
Q2-RNA-BS-030325_S52_L001_R1_001	17089376.0	34176785.0
Q2-RNA-BS-030325_S52_L001_R2	18879213.0	31441993.0
Q2-RNA-BS-030325_S52_L001_R2_001	19556821.0	31709340.0
Q3-RNA-BS-030325_S1_L001_R1	9297229.0	6480634.0
Q3-RNA-BS-030325_S1_L001_R1_001	9426032.0	6949128.0
Q3-RNA-BS-030325_S1_L001_R2	11318832.0	4459031.0
Q3-RNA-BS-030325_S1_L001_R2_001	11541747.0	4833413.0
Q3-RNA-BS-030325_S53_L001_R1	14885617.0	22708067.0
Q3-RNA-BS-030325_S53_L001_R1_001	15142489.0	23549107.0
Q3-RNA-BS-030325_S53_L001_R2	16591450.0	21002234.0
Q3-RNA-BS-030325_S53_L001_R2_001	17058271.0	21633325.0
