Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
C1-RNA-BS-030325_S44_L001_R1	(1.0, 17.9608097224915)	(2.0, 9.26629354668497)	(3.0, 5.619780526092797)	(4.0, 3.703523015685494)	(5.0, 2.811541518743711)	(6.0, 2.24840029709601)	(7.0, 1.8666117248764036)	(8.0, 1.572904228644581)	(9.0, 1.4447978490048403)	('>10', 18.00604456611972)	('>50', 5.721708749722435)	('>100', 10.51052052639018)	('>500', 4.287594482190027)	('>1k', 7.75408672319239)	('>5k', 1.9475226586971564)	('>10k+', 5.277859864367921)
C1-RNA-BS-030325_S44_L001_R1_001	(1.0, 18.120710281339502)	(2.0, 9.170671992885202)	(3.0, 5.590737848394622)	(4.0, 3.658000928568765)	(5.0, 2.7944321542485846)	(6.0, 2.236158742763428)	(7.0, 1.8697716890314346)	(8.0, 1.5582259059327015)	(9.0, 1.445201895230097)	('>10', 17.90993147780212)	('>50', 5.675815423718188)	('>100', 10.497611107189282)	('>500', 4.282352683915721)	('>1k', 7.725682080391609)	('>5k', 1.9688701877624615)	('>10k+', 5.4958256008261905)
C1-RNA-BS-030325_S44_L001_R2	(1.0, 21.217193593508686)	(2.0, 10.685986312599455)	(3.0, 6.439410543675415)	(4.0, 4.273346401238486)	(5.0, 3.208839133952795)	(6.0, 2.4455698099099497)	(7.0, 2.1088879544122765)	(8.0, 1.7248462592685592)	(9.0, 1.4527049534804362)	('>10', 16.386864124335286)	('>50', 4.596724631808514)	('>100', 10.180624232060149)	('>500', 3.839278763097139)	('>1k', 5.64239983025701)	('>5k', 1.102916921207753)	('>10k+', 4.694406535188076)
C1-RNA-BS-030325_S44_L001_R2_001	(1.0, 21.88003044863491)	(2.0, 10.55008370361732)	(3.0, 6.335119088281618)	(4.0, 4.195663417349715)	(5.0, 3.1629738263751475)	(6.0, 2.439981598340239)	(7.0, 2.059497860673591)	(8.0, 1.693884374508083)	(9.0, 1.42972819152036)	('>10', 16.225649797839925)	('>50', 4.547823326336537)	('>100', 10.032694475116925)	('>500', 3.808086869546478)	('>1k', 5.618516042590309)	('>5k', 1.0930684885635402)	('>10k+', 4.927198490705289)
C2-RNA-BS-030325_S45_L001_R1	(1.0, 20.97176655451544)	(2.0, 11.067752757203998)	(3.0, 6.457820984240725)	(4.0, 4.089519206420969)	(5.0, 2.9591876834157835)	(6.0, 2.3106912842639664)	(7.0, 1.844615519837417)	(8.0, 1.6043760774708482)	(9.0, 1.4647359919840575)	('>10', 16.935660243508018)	('>50', 4.901825928870411)	('>100', 9.670527711676002)	('>500', 3.9555992991604816)	('>1k', 6.559713812518568)	('>5k', 1.452655991868217)	('>10k+', 3.7535509530450555)
C2-RNA-BS-030325_S45_L001_R1_001	(1.0, 21.05690413514564)	(2.0, 10.98559870069045)	(3.0, 6.402566128628949)	(4.0, 4.06099699997263)	(5.0, 2.941868951488445)	(6.0, 2.299905426321207)	(7.0, 1.8504712128309557)	(8.0, 1.5762377216637924)	(9.0, 1.445243922379259)	('>10', 16.92091695970021)	('>50', 4.914812675158438)	('>100', 9.653001795958053)	('>500', 3.947046562836253)	('>1k', 6.589489534354687)	('>5k', 1.4955787111075682)	('>10k+', 3.859360561763525)
C2-RNA-BS-030325_S45_L001_R2	(1.0, 24.02528672324079)	(2.0, 11.890944893505381)	(3.0, 6.955526055588527)	(4.0, 4.579886905253594)	(5.0, 3.1727633841213096)	(6.0, 2.544301894279085)	(7.0, 1.924182712015033)	(8.0, 1.7372551934611853)	(9.0, 1.478304770354208)	('>10', 15.328668058205555)	('>50', 4.364468511155822)	('>100', 9.426037043634539)	('>500', 3.354928758977551)	('>1k', 4.7940714830791915)	('>5k', 1.1245633575423304)	('>10k+', 3.298810255585854)
C2-RNA-BS-030325_S45_L001_R2_001	(1.0, 24.817341335777517)	(2.0, 11.752393598729673)	(3.0, 6.838456777550797)	(4.0, 4.520133325798936)	(5.0, 3.11489904163796)	(6.0, 2.502311438529314)	(7.0, 1.894596558215618)	(8.0, 1.7129452420551103)	(9.0, 1.4601951898212586)	('>10', 15.10062222179489)	('>50', 4.303440730905034)	('>100', 9.295529882592255)	('>500', 3.322452158593181)	('>1k', 4.748120175834961)	('>5k', 1.0804889012938599)	('>10k+', 3.5360734208696987)
C3-RNA-BS-030325_S46_L001_R1	(1.0, 23.58851388584592)	(2.0, 11.895669348352971)	(3.0, 6.506626949399104)	(4.0, 4.150824424705146)	(5.0, 2.8837216618820714)	(6.0, 2.324586075938796)	(7.0, 1.8432298574521937)	(8.0, 1.6487378779051167)	(9.0, 1.3719122580449963)	('>10', 16.191434785063347)	('>50', 4.598790640503923)	('>100', 9.015179717656412)	('>500', 3.5903009265280663)	('>1k', 5.922698657673288)	('>5k', 1.2986963455806657)	('>10k+', 3.1690765874677305)
C3-RNA-BS-030325_S46_L001_R1_001	(1.0, 23.76223036974553)	(2.0, 11.842847902654675)	(3.0, 6.4626244807731865)	(4.0, 4.112468670453059)	(5.0, 2.884610469914734)	(6.0, 2.294351666665668)	(7.0, 1.8434798788592393)	(8.0, 1.6368426798751223)	(9.0, 1.394032067146161)	('>10', 16.110489794228712)	('>50', 4.545991715468096)	('>100', 9.02272464546851)	('>500', 3.5922334027243927)	('>1k', 5.872200574422369)	('>5k', 1.2933284957466322)	('>10k+', 3.329543185854155)
