Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
C1-RNA-BS-030325_S44_L001_R1	(17, 4904.0)	(18, 4792.0)	(19, 4745.0)	(20, 4684.0)	(21, 4533.0)	(22, 4581.0)	(23, 4827.0)	(24, 5993.0)	(25, 7755.0)	(26, 7560.0)	(27, 8625.0)	(28, 9968.0)	(29, 10760.0)	(30, 11953.0)	(31, 11867.0)	(32, 12956.0)	(33, 13788.0)	(34, 14264.0)	(35, 13284.0)	(36, 13821.0)	(37, 14040.0)	(38, 14294.0)	(39, 14550.0)	(40, 14569.0)	(41, 15696.0)	(42, 16629.0)	(43, 17234.0)	(44, 14684.0)	(45, 15265.0)	(46, 16723.0)	(47, 15566.0)	(48, 14748.0)	(49, 16967.0)	(50, 15437.0)	(51, 18381.0)	(52, 22797.0)	(53, 43499.0)	(54, 93633.0)	(55, 363363.0)	(56, 1679195.0)	(57, 5183700.0)	(58, 17092630.0)	(59, 48406734.0)
C1-RNA-BS-030325_S44_L001_R1_001	(35, 126035.0)	(36, 95.0)	(37, 88.0)	(38, 118.0)	(39, 98.0)	(40, 119.0)	(41, 143.0)	(42, 162.0)	(43, 213.0)	(44, 230.0)	(45, 274.0)	(46, 349.0)	(47, 422.0)	(48, 1053.0)	(49, 3353.0)	(50, 1225.0)	(51, 5046.0)	(52, 10509.0)	(53, 30652.0)	(54, 81549.0)	(55, 350783.0)	(56, 1676713.0)	(57, 5212177.0)	(58, 17432797.0)	(59, 49637779.0)																		
C1-RNA-BS-030325_S44_L001_R2	(17, 25777.0)	(18, 24813.0)	(19, 25268.0)	(20, 24284.0)	(21, 24575.0)	(22, 23622.0)	(23, 23317.0)	(24, 22656.0)	(25, 22523.0)	(26, 21411.0)	(27, 20785.0)	(28, 19983.0)	(29, 19868.0)	(30, 19085.0)	(31, 20007.0)	(32, 18927.0)	(33, 19653.0)	(34, 19250.0)	(35, 20166.0)	(36, 19481.0)	(37, 20127.0)	(38, 19883.0)	(39, 20643.0)	(40, 20511.0)	(41, 20493.0)	(42, 20230.0)	(43, 21259.0)	(44, 20774.0)	(45, 20819.0)	(46, 21074.0)	(47, 21240.0)	(48, 22102.0)	(49, 24349.0)	(50, 21854.0)	(51, 25286.0)	(52, 29156.0)	(53, 46793.0)	(54, 108387.0)	(55, 480143.0)	(56, 1926111.0)	(57, 5359077.0)	(58, 18450217.0)	(59, 46140015.0)
C1-RNA-BS-030325_S44_L001_R2_001	(35, 126166.0)	(36, 94.0)	(37, 86.0)	(38, 122.0)	(39, 102.0)	(40, 125.0)	(41, 146.0)	(42, 163.0)	(43, 217.0)	(44, 235.0)	(45, 266.0)	(46, 328.0)	(47, 466.0)	(48, 1131.0)	(49, 3801.0)	(50, 1258.0)	(51, 5151.0)	(52, 9594.0)	(53, 26513.0)	(54, 88088.0)	(55, 459647.0)	(56, 1914290.0)	(57, 5359893.0)	(58, 18767053.0)	(59, 47807047.0)																		
C2-RNA-BS-030325_S45_L001_R1	(17, 4383.0)	(18, 4228.0)	(19, 4025.0)	(20, 4004.0)	(21, 4028.0)	(22, 4021.0)	(23, 4351.0)	(24, 5170.0)	(25, 6855.0)	(26, 6488.0)	(27, 7473.0)	(28, 8550.0)	(29, 8893.0)	(30, 10385.0)	(31, 10062.0)	(32, 10905.0)	(33, 11735.0)	(34, 12501.0)	(35, 11622.0)	(36, 11580.0)	(37, 11762.0)	(38, 11835.0)	(39, 12116.0)	(40, 12179.0)	(41, 12891.0)	(42, 13494.0)	(43, 13715.0)	(44, 12332.0)	(45, 12756.0)	(46, 13450.0)	(47, 12655.0)	(48, 12528.0)	(49, 14533.0)	(50, 12888.0)	(51, 15770.0)	(52, 19858.0)	(53, 37496.0)	(54, 81309.0)	(55, 322607.0)	(56, 1432907.0)	(57, 4410044.0)	(58, 14392068.0)	(59, 41052242.0)
C2-RNA-BS-030325_S45_L001_R1_001	(35, 68322.0)	(36, 98.0)	(37, 78.0)	(38, 107.0)	(39, 92.0)	(40, 110.0)	(41, 129.0)	(42, 153.0)	(43, 175.0)	(44, 171.0)	(45, 201.0)	(46, 256.0)	(47, 407.0)	(48, 865.0)	(49, 3040.0)	(50, 946.0)	(51, 4627.0)	(52, 9174.0)	(53, 26795.0)	(54, 71108.0)	(55, 312635.0)	(56, 1433495.0)	(57, 4440908.0)	(58, 14702857.0)	(59, 42167092.0)																		
C2-RNA-BS-030325_S45_L001_R2	(17, 23611.0)	(18, 23030.0)	(19, 24331.0)	(20, 21675.0)	(21, 21428.0)	(22, 21125.0)	(23, 20509.0)	(24, 20568.0)	(25, 19468.0)	(26, 18426.0)	(27, 18010.0)	(28, 17193.0)	(29, 17037.0)	(30, 16642.0)	(31, 17497.0)	(32, 16359.0)	(33, 16885.0)	(34, 16439.0)	(35, 17169.0)	(36, 17177.0)	(37, 17577.0)	(38, 17195.0)	(39, 18070.0)	(40, 17784.0)	(41, 17964.0)	(42, 17409.0)	(43, 18156.0)	(44, 18006.0)	(45, 17976.0)	(46, 18434.0)	(47, 18358.0)	(48, 19081.0)	(49, 21098.0)	(50, 18727.0)	(51, 21916.0)	(52, 25078.0)	(53, 40571.0)	(54, 92955.0)	(55, 404316.0)	(56, 1600019.0)	(57, 4522510.0)	(58, 15371121.0)	(59, 39375794.0)
C2-RNA-BS-030325_S45_L001_R2_001	(35, 67333.0)	(36, 102.0)	(37, 80.0)	(38, 113.0)	(39, 96.0)	(40, 114.0)	(41, 131.0)	(42, 147.0)	(43, 176.0)	(44, 179.0)	(45, 206.0)	(46, 241.0)	(47, 430.0)	(48, 951.0)	(49, 3280.0)	(50, 1112.0)	(51, 4889.0)	(52, 8602.0)	(53, 23315.0)	(54, 75866.0)	(55, 387258.0)	(56, 1590837.0)	(57, 4532397.0)	(58, 15669444.0)	(59, 40876542.0)																		
C3-RNA-BS-030325_S46_L001_R1	(17, 3985.0)	(18, 3720.0)	(19, 3670.0)	(20, 3598.0)	(21, 3560.0)	(22, 3601.0)	(23, 3809.0)	(24, 4473.0)	(25, 6114.0)	(26, 5789.0)	(27, 6777.0)	(28, 7576.0)	(29, 7948.0)	(30, 9474.0)	(31, 9192.0)	(32, 10096.0)	(33, 10729.0)	(34, 11514.0)	(35, 10489.0)	(36, 10627.0)	(37, 10498.0)	(38, 10976.0)	(39, 10990.0)	(40, 11026.0)	(41, 11403.0)	(42, 12236.0)	(43, 12508.0)	(44, 10904.0)	(45, 11094.0)	(46, 11880.0)	(47, 11305.0)	(48, 11189.0)	(49, 13012.0)	(50, 11335.0)	(51, 14222.0)	(52, 17864.0)	(53, 34120.0)	(54, 74095.0)	(55, 299011.0)	(56, 1315176.0)	(57, 4097274.0)	(58, 13184334.0)	(59, 38171478.0)
C3-RNA-BS-030325_S46_L001_R1_001	(35, 50628.0)	(36, 48.0)	(37, 58.0)	(38, 63.0)	(39, 62.0)	(40, 73.0)	(41, 104.0)	(42, 107.0)	(43, 140.0)	(44, 150.0)	(45, 131.0)	(46, 236.0)	(47, 319.0)	(48, 774.0)	(49, 2773.0)	(50, 734.0)	(51, 4187.0)	(52, 8258.0)	(53, 24241.0)	(54, 64807.0)	(55, 290008.0)	(56, 1316281.0)	(57, 4131485.0)	(58, 13474279.0)	(59, 39226453.0)																		
