Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
C1-RNA-BS-030325_S44_L001_R1	71.93858354833992	48.0	58.404942390166646	59	27.27272727272727	73.295994
C1-RNA-BS-030325_S44_L001_R1_001	71.8586931525915	48.0	58.48890414365009	59	27.27272727272727	74.57198199999999
C1-RNA-BS-030325_S44_L001_R2	67.46303004849713	50.0	58.22195828328626	59	27.27272727272727	73.295994
C1-RNA-BS-030325_S44_L001_R2_001	66.9573591716454	50.0	58.45149714540241	59	27.27272727272727	74.57198199999999
C2-RNA-BS-030325_S45_L001_R1	67.66507678151613	48.0	58.40378644912881	59	27.27272727272727	62.094694
C2-RNA-BS-030325_S45_L001_R1_001	67.65625352913766	48.0	58.50235691725302	59	27.27272727272727	63.243840999999996
C2-RNA-BS-030325_S45_L001_R2	63.874882754067706	49.0	58.217472575031934	59	27.27272727272727	62.094694
C2-RNA-BS-030325_S45_L001_R2_001	63.24899165842795	49.0	58.47226975034612	59	27.27272727272727	63.243840999999996
C3-RNA-BS-030325_S46_L001_R1	64.66693049687638	47.0	58.40998255602575	59	27.27272727272727	57.504670999999995
C3-RNA-BS-030325_S46_L001_R1_001	64.55434117719558	47.0	58.51041240605929	59	27.27272727272727	58.596399
C3-RNA-BS-030325_S46_L001_R2	60.282457526032616	48.0	58.22197088998214	59	27.27272727272727	57.504670999999995
C3-RNA-BS-030325_S46_L001_R2_001	59.60288561308003	49.0	58.48039694384633	59	27.27272727272727	58.596399
F1-RNA-BS-030325_S47_L001_R1	65.73506463401948	48.0	58.40305171718553	59	27.27272727272727	54.868125
F1-RNA-BS-030325_S47_L001_R1_001	65.7427437197369	48.0	58.47384531127198	59	27.27272727272727	55.880038
F1-RNA-BS-030325_S47_L001_R2	62.05956848132697	49.0	58.228904505120234	59	27.27272727272727	54.868125
F1-RNA-BS-030325_S47_L001_R2_001	61.53843224733987	49.0	58.440412871587526	59	27.27272727272727	55.880038
F2-RNA-BS-030325_S48_L001_R1	68.76465436099474	48.0	58.4061785578414	59	27.27272727272727	66.478167
F2-RNA-BS-030325_S48_L001_R1_001	68.71289413079955	48.0	58.47376251731007	59	27.27272727272727	67.955395
F2-RNA-BS-030325_S48_L001_R2	64.7101169654648	49.0	58.182679164424016	59	27.27272727272727	66.478167
F2-RNA-BS-030325_S48_L001_R2_001	63.96617527948697	50.0	58.441125814955534	59	27.27272727272727	67.955395
F3-RNA-BS-030325_S49_L001_R1	66.52287569898361	47.0	58.4080756311493	59	27.27272727272727	57.274285
F3-RNA-BS-030325_S49_L001_R1_001	66.48692218395011	48.0	58.4954604203429	59	27.27272727272727	58.307491
F3-RNA-BS-030325_S49_L001_R2	62.35867823527385	49.0	58.24036343709921	59	27.27272727272727	57.274285
F3-RNA-BS-030325_S49_L001_R2_001	61.822059464238826	49.0	58.46584832470325	59	27.27272727272727	58.307491
F4-RNA-BS-030325_S50_L001_R1	65.17599710166326	47.0	58.40916123038572	59	27.27272727272727	58.956666
F4-RNA-BS-030325_S50_L001_R1_001	65.154294658821	47.0	58.51310894956371	59	27.27272727272727	59.988712
F4-RNA-BS-030325_S50_L001_R2	60.96744913531521	48.0	58.24796561596614	59	27.27272727272727	58.956666
F4-RNA-BS-030325_S50_L001_R2_001	60.41640984303609	48.0	58.48313396026906	59	27.27272727272727	59.988712
L1-RNA-BS-030325_S57_L001_R1	64.70068612387351	47.0	58.418352284424465	59	27.27272727272727	61.54351
L1-RNA-BS-030325_S57_L001_R1_001	64.66297786753228	47.0	58.50930081217955	59	27.27272727272727	62.640336
L1-RNA-BS-030325_S57_L001_R2	60.37477606652267	48.0	58.242998944974055	59	27.27272727272727	61.54351
L1-RNA-BS-030325_S57_L001_R2_001	59.828752639636804	49.0	58.47498258949314	59	27.27272727272727	62.640336
